dataset_enum,dataset_value,dataset_type,file_path,run,seed,num_nodes,num_edges,num_colors,conflict_edges,is_valid,time_sec
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,10,4010,19717,44324,12,0,True,0.009496688842773438
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,1,5001,2591,3528,8,0,True,0.0009348392486572266
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,2,5002,2591,3528,9,0,True,0.0009255409240722656
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,3,5003,2591,3528,8,0,True,0.0009391307830810547
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,4,5004,2591,3528,8,0,True,0.0009388923645019531
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,5,5005,2591,3528,8,0,True,0.0009255409240722656
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,6,5006,2591,3528,8,0,True,0.0010077953338623047
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,7,5007,2591,3528,7,0,True,0.000982046127319336
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,8,5008,2591,3528,7,0,True,0.0009267330169677734
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,9,5009,2591,3528,8,0,True,0.0009262561798095703
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,10,5010,2591,3528,8,0,True,0.0009412765502929688
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,1,6001,131,1003,20,0,True,0.00013899803161621094
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,2,6002,131,1003,19,0,True,0.0001347064971923828
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,3,6003,131,1003,18,0,True,0.00013113021850585938
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,4,6004,131,1003,20,0,True,0.00012993812561035156
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,5,6005,131,1003,20,0,True,0.0001308917999267578
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,6,6006,131,1003,20,0,True,0.00012826919555664062
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,7,6007,131,1003,19,0,True,0.00012874603271484375
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,8,6008,131,1003,18,0,True,0.00012993812561035156
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,9,6009,131,1003,20,0,True,0.0001289844512939453
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,10,6010,131,1003,20,0,True,0.00013637542724609375
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,1,7001,399,5993,28,0,True,0.0006022453308105469
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,2,7002,399,5993,28,0,True,0.0006005764007568359
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,3,7003,399,5993,29,0,True,0.00061798095703125
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,4,7004,399,5993,30,0,True,0.0006132125854492188
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,5,7005,399,5993,28,0,True,0.0006256103515625
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,6,7006,399,5993,28,0,True,0.0006110668182373047
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,7,7007,399,5993,30,0,True,0.0006120204925537109
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,8,7008,399,5993,27,0,True,0.0006024837493896484
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,9,7009,399,5993,27,0,True,0.0006258487701416016
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,10,7010,399,5993,28,0,True,0.0006134510040283203
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,1,8001,1190,13599,64,0,True,0.0014789104461669922
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,2,8002,1190,13599,63,0,True,0.0014691352844238281
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,3,8003,1190,13599,61,0,True,0.0014865398406982422
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,4,8004,1190,13599,63,0,True,0.0015115737915039062
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,5,8005,1190,13599,61,0,True,0.0014832019805908203
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,6,8006,1190,13599,62,0,True,0.0014770030975341797
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,7,8007,1190,13599,64,0,True,0.0015244483947753906
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,8,8008,1190,13599,61,0,True,0.0015439987182617188
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,9,8009,1190,13599,61,0,True,0.0015115737915039062
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,10,8010,1190,13599,63,0,True,0.0015017986297607422
