dataset_enum,dataset_value,run,seed,num_nodes,num_edges,mis_size,violation_edges,is_valid,epoch,time_sec,final_loss
Graph_Cora,cora_graph,6,4006,2708,5278,697,41,False,19114,65.35666728019714,-615.0
Graph_Cora,cora_graph,7,4007,2708,5278,635,37,False,17975,62.16105341911316,-561.0
Graph_Cora,cora_graph,8,4008,2708,5278,571,43,False,16914,56.674434423446655,-485.0
Graph_Cora,cora_graph,9,4009,2708,5278,563,35,False,15799,53.99476337432861,-493.0
Graph_Cora,cora_graph,10,4010,2708,5278,637,42,False,19930,69.54426193237305,-553.0
Graph_Citeseer,citeseer_graph,1,5001,3279,4552,832,123,False,17035,73.75733876228333,-586.0
Graph_Citeseer,citeseer_graph,2,5002,3279,4552,879,127,False,23408,109.11608695983887,-625.0
Graph_Citeseer,citeseer_graph,3,5003,3279,4552,816,142,False,18638,74.55159974098206,-532.0
Graph_Citeseer,citeseer_graph,4,5004,3279,4552,835,123,False,17230,59.29851770401001,-589.0
Graph_Citeseer,citeseer_graph,5,5005,3279,4552,807,115,False,17707,62.90703058242798,-577.0
Graph_Citeseer,citeseer_graph,6,5006,3279,4552,901,134,False,16501,56.845280170440674,-633.0
Graph_Citeseer,citeseer_graph,7,5007,3279,4552,848,138,False,15165,52.3366174697876,-572.0
Graph_Citeseer,citeseer_graph,8,5008,3279,4552,764,110,False,17221,61.43406915664673,-544.0
Graph_Citeseer,citeseer_graph,9,5009,3279,4552,800,123,False,17171,60.494404792785645,-554.0
Graph_Citeseer,citeseer_graph,10,5010,3279,4552,865,120,False,18188,63.84555768966675,-625.0
Graph_Amazon_Photo,amazon_electronics_photo_graph,1,6001,7650,119081,1393,22,False,32083,524.6390972137451,-1349.0
Graph_Amazon_Photo,amazon_electronics_photo_graph,2,6002,7650,119081,1419,12,False,57715,932.0764253139496,-1395.0
Graph_Amazon_Photo,amazon_electronics_photo_graph,3,6003,7650,119081,1430,19,False,44079,712.0684127807617,-1392.0
Graph_Amazon_Photo,amazon_electronics_photo_graph,4,6004,7650,119081,1456,24,False,34170,555.7524750232697,-1408.0
Graph_Amazon_Photo,amazon_electronics_photo_graph,5,6005,7650,119081,1418,19,False,36309,609.4544358253479,-1380.0
Graph_Amazon_Photo,amazon_electronics_photo_graph,6,6006,7650,119081,1322,19,False,34297,557.5287749767303,-1284.0
Graph_Amazon_Photo,amazon_electronics_photo_graph,7,6007,7650,119081,1291,13,False,35462,582.6702814102173,-1265.0
Graph_Amazon_Photo,amazon_electronics_photo_graph,8,6008,7650,119081,1275,13,False,28818,472.8468794822693,-1249.0
Graph_Amazon_Photo,amazon_electronics_photo_graph,9,6009,7650,119081,1447,13,False,46199,776.0736038684845,-1421.0
Graph_Amazon_Photo,amazon_electronics_photo_graph,10,6010,7650,119081,1410,15,False,34050,552.103835105896,-1380.0
Graph_Amazon_PC,amazon_electronics_computers_graph,1,7001,13752,245861,2458,34,False,33226,1523.3898921012878,-2390.0
Graph_Amazon_PC,amazon_electronics_computers_graph,2,7002,13752,245861,2239,23,False,31748,1459.9322264194489,-2193.0
Graph_Amazon_PC,amazon_electronics_computers_graph,3,7003,13752,245861,2469,35,False,37627,1734.0457170009613,-2399.0
Graph_Amazon_PC,amazon_electronics_computers_graph,4,7004,13752,245861,2513,37,False,37524,1669.7941219806671,-2439.0
Graph_Amazon_PC,amazon_electronics_computers_graph,5,7005,13752,245861,2370,34,False,36601,1621.5364243984222,-2302.0
Graph_Amazon_PC,amazon_electronics_computers_graph,6,7006,13752,245861,2389,29,False,36034,1591.8477249145508,-2331.0
Graph_Amazon_PC,amazon_electronics_computers_graph,7,7007,13752,245861,2323,28,False,30471,1347.5719678401947,-2267.0
Graph_Amazon_PC,amazon_electronics_computers_graph,8,7008,13752,245861,2358,25,False,34443,1525.0748875141144,-2308.0
Graph_Amazon_PC,amazon_electronics_computers_graph,9,7009,13752,245861,2581,32,False,38947,1715.1438374519348,-2517.0
Graph_Amazon_PC,amazon_electronics_computers_graph,10,7010,13752,245861,2419,28,False,38416,1710.4145505428314,-2363.0
Graph_Pubmed,pubmed_graph,1,8001,19717,44324,14676,8,False,34564,2422.685218811035,-14660.0
Graph_Pubmed,pubmed_graph,2,8002,19717,44324,14440,8,False,24130,1684.7802953720093,-14424.0
Graph_Pubmed,pubmed_graph,3,8003,19717,44324,14973,8,False,55731,3921.7377145290375,-14957.0
Graph_Pubmed,pubmed_graph,4,8004,19717,44324,14588,6,False,30901,2160.475962638855,-14576.0
Graph_Pubmed,pubmed_graph,5,8005,19717,44324,14942,8,False,41163,2881.820522069931,-14926.0
Graph_Pubmed,pubmed_graph,6,8006,19717,44324,14604,7,False,32958,2305.409696340561,-14590.0
Graph_Pubmed,pubmed_graph,7,8007,19717,44324,14969,8,False,45119,3158.986928462982,-14953.0
Graph_Pubmed,pubmed_graph,8,8008,19717,44324,14520,6,False,31486,2201.8759591579437,-14508.0
Graph_Pubmed,pubmed_graph,9,8009,19717,44324,14493,7,False,28790,2010.655545949936,-14479.0
Graph_Pubmed,pubmed_graph,10,8010,19717,44324,14636,8,False,38096,2753.2218856811523,-14620.0
